year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
2,4,0.9980463,0.020442122,0.010333209,0.012088424,-0.030768798,0,irresponsible,0.010108913,0.03614869,-0.000922353,0.011672583
3,4,1.037897381,0.029101716,0.015027325,0.015491083,-0.039395082,0,irresponsible,0.014074391,0.030601594,-0.008162819,0.015460818
4,4,1.059249488,0.030338685,0.014756018,0.018460603,-0.01756304,0,irresponsible,0.015582667,0.019823053,-0.000522034,0.019160212
5,4,1.077543486,0.028290892,0.030361204,0.020426661,-0.028507076,0,irresponsible,-0.002070311,0.029557526,0.013139716,0.02163693
6,4,1.118364541,0.024143993,0.020751184,0.021170127,-0.040378802,0,irresponsible,0.003392808,0.046102486,0.011984332,0.022811733
7,4,1.169748458,0.032530513,0.010867513,0.023442204,-0.037472015,0,irresponsible,0.021663,0.053526191,0.005683444,0.02621693
8,4,1.225416922,0.036594509,0.008327514,0.026072665,-0.03508253,0,irresponsible,0.028266995,0.057469373,0.005994794,0.03049846
9,4,1.284687204,0.03845826,0.007888165,0.028549784,-0.034149343,0,irresponsible,0.030570095,0.065515778,0.00714595,0.034985389
10,4,1.356448478,0.042021744,0.008319181,0.031244176,-0.042552816,0,irresponsible,0.033702562,0.071761274,0.006245495,0.040138993
1,5,0.9656,0.01,0.022642478,0.01,-0.044082191,0,irresponsible,-0.012642478,0.022053543,0.003068126,0.009656
2,5,0.987653543,0.018348621,0.02539346,0.011669724,-0.034977011,0,irresponsible,-0.007044839,0.025121669,0.001896983,0.011268286
3,5,1.015843339,0.017790055,0.013193475,0.01289379,-0.028481927,0,irresponsible,0.00459658,0.025847508,0.005393069,0.012734598
4,5,1.03934856,0.018027682,0.018920768,0.013920569,-0.028490318,0,irresponsible,-0.000893086,0.035907807,0.0068663,0.014141117
5,5,1.087658953,0.02311147,0.021013016,0.015758749,-0.053659017,0,irresponsible,0.002098455,0.039580108,-0.002960449,0.016378833
6,5,1.118508776,0.034894451,0.019943257,0.019585889,-0.031230917,0,irresponsible,0.014951194,0.02998691,-0.007641014,0.021302768
7,5,1.147632774,0.037383923,0.014635561,0.023145496,-0.019742858,0,irresponsible,0.022748362,0.024298081,-0.001614432,0.025888441
8,5,1.167104938,0.041401303,0.023093019,0.026796657,-0.015317686,0,irresponsible,0.018308284,0.026758045,0.008666988,0.030752722
9,5,1.201148864,0.045743903,0.022307425,0.030586107,-0.024592669,0,irresponsible,0.023436478,0.041632056,0.011231071,0.035697196
10,5,1.250369051,0.045520849,0.016222381,0.033573055,-0.028712133,0,irresponsible,0.029298469,0.049220187,0.00758813,0.040326237
1,6,0.9656,0.01,0.014662383,0.01,-0.036548317,0,irresponsible,-0.004662383,0.039293941,-0.008885721,0.009656
2,6,1.004893941,0.019274577,0.007956694,0.011854915,-0.035559532,0,irresponsible,0.011317882,0.03040822,-0.004485236,0.011447106
3,6,1.026416441,0.029038313,0.017442942,0.015291595,-0.023647312,0,irresponsible,0.011595371,0.030323468,0.004860228,0.015366431
4,6,1.065540877,0.031412977,0.012511723,0.018515871,-0.033037833,0,irresponsible,0.018901254,0.040128676,0.004541011,0.019004995
5,6,1.106673792,0.031730559,0.02377909,0.021158809,-0.043860082,0,irresponsible,0.007951469,0.039405491,-0.00727368,0.022545576
6,6,1.144351859,0.028251307,0.025020336,0.022577308,-0.040315706,0,irresponsible,0.003230971,0.025581316,-0.005192839,0.024985716
7,6,1.157836424,0.033077547,0.02886937,0.024677356,-0.018147099,0,irresponsible,0.004208177,0.029019812,0.008513317,0.028239578
8,6,1.202391482,0.037857403,0.019182342,0.027313366,-0.035317855,0,irresponsible,0.018675061,0.042607949,0.005677842,0.03162441
9,6,1.243052322,0.035929864,0.023443381,0.029036665,-0.034089576,0,irresponsible,0.012486483,0.040375495,-0.001258899,0.034913439
10,6,1.283142473,0.032933474,0.025294908,0.029816027,-0.034608813,0,irresponsible,0.007638566,0.040090151,-0.000285344,0.037062882
1,7,0.9656,0.01,0.023952869,0.01,-0.030857613,0,irresponsible,-0.013952869,0.019291603,0.009562183,0.009656
2,7,0.984891603,0.009931148,0.03383316,0.00998623,-0.041564633,0,irresponsible,-0.023902012,0.028853786,0.006947853,0.009642703
