year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
7,2625,1.193515376,0.060152051,0.012762022,0.035236783,-0.036392234,0,irresponsible,0.047390029,0.065048148,0.008608324,0.039888118
8,2625,1.262098552,0.063419819,0.014163071,0.04087339,-0.0371492,0,irresponsible,0.049256748,0.065731669,-0.003382808,0.04878302
9,2625,1.324978715,0.060823176,0.020489309,0.044863347,-0.03273537,0,irresponsible,0.040333867,0.058282533,-0.006023383,0.056621966
10,2625,1.378663617,0.058418993,0.032863315,0.047574476,-0.034813116,0,irresponsible,0.025555678,0.053684903,-0.00459763,0.063035169
1,2626,0.9656,0.01,0.022238442,0.01,-0.053560763,0,irresponsible,-0.012238442,0.024692959,-0.001394382,0.009656
2,2626,0.990292959,0.008605132,0.013853015,0.009721026,-0.028628292,0,irresponsible,-0.005247883,0.023298577,-0.002381535,0.009386623
3,2626,1.012197154,0.006307324,0.018351687,0.009038286,-0.030960983,0,irresponsible,-0.012044364,0.01992989,0.007000378,0.008950551
4,2626,1.030152739,0.027278031,0.021563998,0.012686235,-0.026751947,0,irresponsible,0.005714033,0.037299334,0.012946409,0.012840971
5,2626,1.086795822,0.023758606,0.009720635,0.014900709,-0.051358187,0,irresponsible,0.014037971,0.045822707,-0.003712991,0.015350006
6,2626,1.121798154,0.02562496,0.020140038,0.017045559,-0.038299004,0,irresponsible,0.005484922,0.029873353,-0.010665888,0.018525043
7,2626,1.146542527,0.025312158,0.025001883,0.018698879,-0.031642602,0,irresponsible,0.000310276,0.024490931,-0.001771121,0.020976368
8,2626,1.170780016,0.025767995,0.026680306,0.020112702,-0.031571843,0,irresponsible,-0.000912312,0.026331111,0.001569464,0.023060068
9,2626,1.199204748,0.031871991,0.015839034,0.02246456,-0.020788648,0,irresponsible,0.016032956,0.027629859,0.000251938,0.026301058
10,2626,1.226039735,0.043011722,0.018709331,0.026573992,-0.01757686,0,irresponsible,0.024302392,0.026834986,-0.000794873,0.031867658
1,2627,0.9656,0.01,0.033105957,0.01,-0.028170299,0,irresponsible,-0.023105957,0.052486912,-0.004252914,0.009656
2,2627,1.018086912,0.0099928,0.009081902,0.00999856,-0.051609753,0,irresponsible,0.000910899,0.048233998,-0.006395929,0.00965461
3,2627,1.062067996,0.012965136,0.018739815,0.010591875,-0.052123802,0,irresponsible,-0.005774679,0.039695054,0.000401883,0.01078345
4,2627,1.097477021,0.021826769,0.013141298,0.012838854,-0.035726075,0,irresponsible,0.008685471,0.049037763,0.003467835,0.013635736
5,2627,1.160143522,0.01690442,0.008328942,0.013651967,-0.056872858,0,irresponsible,0.008575479,0.046630725,-0.006969164,0.01498272
6,2627,1.190738471,0.025178245,0.014862556,0.015957223,-0.029343576,0,irresponsible,0.01031569,0.035099435,-0.003719353,0.018512669
7,2627,1.230342392,0.030290234,0.005166788,0.018823825,-0.023425551,0,irresponsible,0.025123447,0.03919202,0.005129483,0.022414253
8,2627,1.26912251,0.038309982,0.017771415,0.022721056,-0.032796698,0,irresponsible,0.020538567,0.0453584,0.00664243,0.027954679
9,2627,1.321059193,0.036670146,0.012512174,0.025510874,-0.035643602,0,irresponsible,0.024157971,0.05247688,0.003829339,0.032376425
10,2627,1.37407627,0.046048112,0.0157051,0.029618322,-0.034921087,0,irresponsible,0.030343012,0.053017078,0.000540197,0.039127556
1,2628,0.9656,0.01,0.022337773,0.01,-0.024743228,0,irresponsible,-0.012337773,0.033967227,0.003537948,0.009656
2,2628,0.999567227,0.009339202,0.014806216,0.00986784,-0.038666149,0,irresponsible,-0.005467014,0.037505176,0.00299212,0.009528387
3,2628,1.040610351,0.015417787,0.011353074,0.01097783,-0.041413996,0,irresponsible,0.004064712,0.039951467,-0.001505662,0.010973079
4,2628,1.079470161,0.015176529,0.01896956,0.011817569,-0.046163694,0,irresponsible,-0.003793032,0.034493852,-0.007702189,0.012297485
5,2628,1.109598056,0.023557992,0.016937016,0.014165654,-0.033069673,0,irresponsible,0.006620975,0.024547089,-0.000328065,0.015291401
6,2628,1.128564338,0.032716175,0.021031769,0.017875758,-0.022396052,0,irresponsible,0.011684406,0.033837721,0.003455138,0.019834907
7,2628,1.177273499,0.034037386,0.019290421,0.021108084,-0.046696634,0,irresponsible,0.014746964,0.031457365,-0.007256488,0.023821831
8,2628,1.191479068,0.039509561,0.019932099,0.024788379,-0.008600128,0,irresponsible,0.019577462,0.019324746,-0.002825091,0.029182702
9,2628,1.215922991,0.041940255,0.026034456,0.028218754,-0.021907415,0,irresponsible,0.015905799,0.025807183,0.003922849,0.033622055
10,2628,1.243093435,0.042196964,0.023312602,0.031014396,-0.018018998,0,irresponsible,0.018884362,0.027170443,0.00136326,0.037711118
1,2629,0.9656,0.01,0.012067465,0.01,-0.030136027,0,irresponsible,-0.002067465,0.032662424,0.011941229,0.009656
2,2629,0.998262424,0.016442889,0.017154375,0.011288578,-0.038230914,0,irresponsible,-0.000711486,0.044603653,0.006525207,0.010900251
3,2629,1.054807307,0.016210786,0.006778495,0.01227302,-0.051096834,0,irresponsible,0.009432292,0.045712839,-0.005533765,0.012251694
4,2629,1.089688102,0.019413114,0.007819347,0.013701038,-0.028724879,0,irresponsible,0.011593767,0.033536122,-0.003351427,0.014451955
5,2629,1.121879551,0.021835317,0.01200104,0.015327894,-0.028609206,0,irresponsible,0.009834277,0.039009986,0.013294132,0.016702624
6,2629,1.167708074,0.01718148,0.007188088,0.015698611,-0.036348881,0,irresponsible,0.009993392,0.060124386,0.012461441,0.017611951
7,2629,1.242128323,0.027602282,-0.004825364,0.018079345,-0.04754455,0,irresponsible,0.032427645,0.063932868,-0.005029959,0.021111398
8,2629,1.29557381,0.03175212,0.005251698,0.0208139,-0.034216221,0,irresponsible,0.026500423,0.050064468,-0.01262119,0.025853535
9,2629,1.342257259,0.037684738,0.010201579,0.024188068,-0.028745911,0,irresponsible,0.027483159,0.038690488,-0.00968347,0.031337427
10,2629,1.372954787,0.033430476,0.016628104,0.02603655,-0.018275528,0,irresponsible,0.016802372,0.030697528,-0.007992961,0.034947748
1,2630,0.9656,0.01,0.023422702,0.01,-0.023219271,0,irresponsible,-0.013422702,0.021398046,0.005645289,0.009656
2,2630,0.986998046,0.021164313,0.026809277,0.012232863,-0.035105544,0,irresponsible,-0.005644963,0.027043336,0.007823912,0.011812052
3,2630,1.019686672,0.02646826,0.019733836,0.015079942,-0.037193119,0,irresponsible,0.006734424,0.037045871,0.00249241,0.014883873
4,2630,1.061089789,0.030473484,0.025705239,0.018158651,-0.048905424,0,irresponsible,0.004768245,0.032028155,-0.006389022,0.018516134
5,2630,1.083742982,0.034073162,0.02122877,0.021341553,-0.022536009,0,irresponsible,0.012844392,0.024267827,0.000113205,0.022645304
6,2630,1.109625443,0.033494759,0.024191096,0.023772194,-0.02632572,0,irresponsible,0.009303663,0.032254565,0.005082908,0.025762948
7,2630,1.148252112,0.02934785,0.020931346,0.024887325,-0.034327011,0,irresponsible,0.008416504,0.034433643,-0.001567898,0.027615609
8,2630,1.17849273,0.025127106,0.019654655,0.024935281,-0.024294006,0,irresponsible,0.005472451,0.029118769,0.008556334,0.028631989
9,2630,1.206489649,0.029355654,0.021350795,0.025819356,-0.022840839,0,irresponsible,0.008004859,0.051546312,0.022988468,0.030427923
10,2630,1.281585353,0.033877069,0.013598472,0.027430899,-0.058630921,0,irresponsible,0.020278597,0.075095704,0.023549392,0.033095095
1,2631,0.9656,0.01,0.018089159,0.01,-0.031543736,0,irresponsible,-0.008089159,0.044278134,-0.008757445,0.009656
2,2631,1.009878134,0.011494575,0.018725814,0.010298915,-0.052265576,0,irresponsible,-0.007231239,0.035520689,-0.008153713,0.009944632
3,2631,1.036641377,0.023260615,0.013862009,0.012891255,-0.027730183,0,irresponsible,0.009398606,0.027970708,-0.000664278,0.013018597
4,2631,1.06581955,0.035689021,0.014416484,0.017450808,-0.026077369,0,irresponsible,0.021272537,0.034192132,0.000811666,0.01809023
5,2631,1.105025641,0.039612369,0.013312294,0.02188312,-0.030191146,0,irresponsible,0.026300075,0.02959404,-0.005087753,0.023323457
6,2631,1.125007629,0.043352686,0.028308722,0.026177033,-0.022272711,0,irresponsible,0.015043964,0.024016625,-0.002828081,0.028926293
7,2631,1.153058891,0.042195769,0.023646094,0.029380781,-0.021748726,0,irresponsible,0.018549676,0.023937877,0.003315095,0.033053602
8,2631,1.172883383,0.041807766,0.023975931,0.031866178,-0.010939597,0,irresponsible,0.017831834,0.030646815,0.005596164,0.036743579
9,2631,1.214352522,0.039516163,0.027794134,0.033396175,-0.035076283,0,irresponsible,0.011722029,0.035130206,-0.000927772,0.039169818
10,2631,1.243143794,0.041711983,0.027887956,0.035059336,-0.020318964,0,irresponsible,0.013824027,0.028791272,-0.006338933,0.042574394
1,2632,0.9656,0.01,0.012153069,0.01,-0.029618662,0,irresponsible,-0.002153069,0.046759861,-0.004598671,0.009656
2,2632,1.012359861,0.019193862,0.011635904,0.011838772,-0.046566224,0,irresponsible,0.007557958,0.04216119,-0.00149987,0.011431519
3,2632,1.049922379,0.025199522,0.012380531,0.014510922,-0.035432171,0,irresponsible,0.012818991,0.04376012,0.002682296,0.014690275
4,2632,1.099880102,0.02575789,0.014450294,0.016760316,-0.047566926,0,irresponsible,0.011307596,0.047525782,0.000738857,0.017597031
5,2632,1.144973943,0.027220816,0.020518422,0.018852416,-0.046889406,0,irresponsible,0.006702394,0.045237835,-0.009890402,0.020735397
6,2632,1.190355772,0.024692683,0.014962971,0.020020469,-0.039676494,0,irresponsible,0.009729712,0.027744978,-0.012411686,0.022922916
7,2632,1.200463898,0.032994161,0.023713936,0.022615208,-0.011385707,0,irresponsible,0.009280226,0.020414464,0.000787426,0.026920143
8,2632,1.2311847,0.035387715,0.032233874,0.025169709,-0.038936261,0,irresponsible,0.003153841,0.029319829,0.008658228,0.030215327
9,2632,1.259103556,0.040433412,0.025039102,0.02822245,-0.024095306,0,irresponsible,0.01539431,0.037730919,0.009111577,0.034747048
10,2632,1.306646539,0.044137184,0.020458968,0.031405397,-0.034036622,0,irresponsible,0.023678215,0.047542982,0.009812063,0.039542647
1,2633,0.9656,0.01,0.010661251,0.01,-0.043651751,0,irresponsible,-0.000661251,0.035163454,-0.001677245,0.009656
2,2633,1.000763454,0.01332236,0.019938002,0.010664472,-0.043942929,0,irresponsible,-0.006615642,0.033486209,0.001185402,0.010297614
3,2633,1.032572417,0.01653663,0.023050727,0.011838904,-0.042776536,0,irresponsible,-0.006514097,0.037534257,0.008126715,0.011847942
4,2633,1.075831967,0.021801494,0.013826366,0.013831422,-0.043254401,0,irresponsible,0.007975128,0.049739639,-0.000970767,0.014281945
5,2633,1.132051695,0.025692287,0.011056033,0.016203595,-0.050742374,0,irresponsible,0.014636254,0.035592724,-0.011534561,0.017432345
6,2633,1.147017415,0.039056639,0.015201367,0.020774204,-0.008751447,0,irresponsible,0.023855272,0.026670516,0.000749686,0.023517473
7,2633,1.185392727,0.043714371,0.019451835,0.025362237,-0.031725332,0,irresponsible,0.024262537,0.037092096,0.008602646,0.029090928
8,2633,1.221201607,0.050733081,0.012945552,0.030436406,-0.015340325,0,irresponsible,0.037787529,0.043875809,0.008132331,0.036079094
9,2633,1.273144345,0.051033665,0.012001842,0.034555858,-0.024726384,0,irresponsible,0.039031823,0.053356757,0.005447484,0.042199669
10,2633,1.327915121,0.048736433,0.013190005,0.037391973,-0.024359304,0,irresponsible,0.035546429,0.054770776,0.001414019,0.047605379
1,2634,0.9656,0.01,0.019680553,0.01,-0.036170373,0,irresponsible,-0.009680553,0.02057773,-0.002653353,0.009656
2,2634,0.98617773,0.009348117,0.018062739,0.009869623,-0.028348638,0,irresponsible,-0.008714622,0.017924377,-0.002964765,0.009530108
3,2634,1.001448754,0.015514914,0.022350043,0.010998681,-0.026220756,0,irresponsible,-0.006835129,0.014648199,0.000855862,0.010846655
4,2634,1.015474128,0.024714689,0.018402215,0.013741883,-0.018608125,0,irresponsible,0.006312473,0.0196361,0.007996276,0.013761791
5,2634,1.040720954,0.035707747,0.017019472,0.018135056,-0.024132937,0,irresponsible,0.018688275,0.03064075,0.00907389,0.01841568
6,2634,1.076755628,0.039169491,0.022657481,0.022341943,-0.036355786,0,irresponsible,0.01651201,0.037783879,-0.000846825,0.023251728
7,2634,1.116288712,0.0431846,0.017079351,0.026510474,-0.029548597,0,irresponsible,0.026105249,0.028947101,-0.003292797,0.028545302
8,2634,1.13464983,0.049099996,0.01650605,0.031028379,-0.002413242,0,irresponsible,0.032593946,0.031198286,0.012157678,0.034636629
9,2634,1.178685284,0.045060664,0.01719195,0.033834836,-0.02547077,0,irresponsible,0.027868714,0.053262458,0.015645588,0.038390691
10,2634,1.241174745,0.047932289,0.023026483,0.036654326,-0.046788071,0,irresponsible,0.024905806,0.062489461,0.009227004,0.043203915
1,2635,0.9656,0.01,0.014353457,0.01,-0.030400389,0,irresponsible,-0.004353457,0.044837754,-0.005686896,0.009656
2,2635,1.010437754,0.018478253,0.024269379,0.011695651,-0.056691268,0,irresponsible,-0.005791126,0.039150858,-0.005648466,0.01129332
3,2635,1.043901716,0.025186834,0.018455326,0.014393887,-0.037493428,0,irresponsible,0.006731508,0.033540822,-0.004949196,0.014544127
4,2635,1.077519397,0.028871836,0.023737045,0.017289477,-0.040192248,0,irresponsible,0.005134791,0.029252465,0.004671112,0.018048515
5,2635,1.102406646,0.030907208,0.022411378,0.020013023,-0.027414875,0,irresponsible,0.00849583,0.042883047,0.007565694,0.021564421
6,2635,1.16328549,0.039102258,0.016090297,0.02383087,-0.052480714,0,irresponsible,0.023011961,0.044383853,-0.005964954,0.02627131
7,2635,1.191174352,0.039016536,0.022917885,0.026868003,-0.023396697,0,irresponsible,0.016098651,0.030953138,-0.00728044,0.031255158
8,2635,1.225191767,0.042137297,0.020705562,0.029921862,-0.023261894,0,irresponsible,0.021431735,0.029822974,-0.004029267,0.035642155
9,2635,1.250820301,0.045621017,0.031106564,0.033061693,-0.02330539,0,irresponsible,0.014514453,0.022894605,-0.004831149,0.040506914
10,2635,1.270980977,0.041285388,0.022820825,0.034706432,-0.00562562,0,irresponsible,0.018464563,0.020160676,-0.002733929,0.04341151
1,2636,0.9656,0.01,0.01602706,0.01,-0.006551746,0,irresponsible,-0.00602706,0.033942476,0.001081623,0.009656
2,2636,0.999542476,0.010902435,0.015907147,0.010180487,-0.039385554,0,irresponsible,-0.005004712,0.035024099,0.001560622,0.009830278
3,2636,1.035648198,0.017188643,0.01452,0.011582118,-0.039000232,0,irresponsible,0.002668643,0.03706372,-0.003825121,0.011576819
4,2636,1.073669916,0.022457419,0.018739973,0.013757178,-0.043087214,0,irresponsible,0.003717446,0.027373857,-0.006400082,0.014247597
5,2636,1.090395912,0.026476043,0.025970635,0.016300951,-0.026845241,0,irresponsible,0.000505408,0.024263556,0.006046062,0.017501841
6,2636,1.122197029,0.03766029,0.024220605,0.020572819,-0.035684587,0,irresponsible,0.013439686,0.039465981,0.009322216,0.022432518
7,2636,1.169327874,0.042395285,0.018849149,0.024937312,-0.040425123,0,irresponsible,0.023546137,0.042907988,-0.001539304,0.027984578
8,2636,1.208013005,0.046975841,0.023346628,0.029345018,-0.031831066,0,irresponsible,0.023629213,0.036387373,-0.002416048,0.034313948
9,2636,1.24210262,0.051469703,0.024637667,0.033769955,-0.023322957,0,irresponsible,0.026832036,0.038075892,0.002837398,0.040794545
10,2636,1.284164789,0.054086632,0.024846177,0.03783329,-0.026321926,0,irresponsible,0.029240455,0.042062169,0.003986277,0.046992829
1,2637,0.9656,0.01,0.01671018,0.01,-0.042540967,0,irresponsible,-0.00671018,0.051999703,-0.014762665,0.009656
2,2637,1.017599703,0.022022939,0.01392329,0.012404588,-0.053446024,0,irresponsible,0.008099648,0.037237038,-0.009149605,0.01197787
3,2637,1.040074075,0.029072935,0.018443291,0.015738257,-0.025177165,0,irresponsible,0.010629644,0.033700492,5.27E-06,0.016015246
4,2637,1.085000687,0.032476102,0.010306524,0.019085826,-0.035888637,0,irresponsible,0.022169578,0.037247569,-0.00204793,0.019850673
5,2637,1.114569213,0.033021928,0.017180434,0.021873047,-0.024563035,0,irresponsible,0.015841494,0.029604633,0.003567059,0.023732271
6,2637,1.144209953,0.039656014,0.022078472,0.02542964,-0.025986315,0,irresponsible,0.017577542,0.044381687,0.014202028,0.028343094
7,2637,1.203332587,0.038949712,0.004367753,0.028133654,-0.032047709,0,irresponsible,0.034581959,0.058008688,0.007863632,0.032190807
8,2637,1.260227329,0.051298472,0.012311828,0.032766618,-0.032580184,0,irresponsible,0.038986643,0.06010895,0.003699834,0.039429139
9,2637,1.323550487,0.049152189,0.016056713,0.036043732,-0.038533019,0,irresponsible,0.033095476,0.065408355,0.003692301,0.045423296
10,2637,1.39104404,0.049281292,0.012793755,0.038691244,-0.033649906,0,irresponsible,0.036487537,0.067493553,0.002085198,0.051209815
1,2638,0.9656,0.01,0.017629418,0.01,-0.027611367,0,irresponsible,-0.007629418,0.025363323,0.005759748,0.009656
2,2638,0.990963323,0.007515125,0.019197728,0.009503025,-0.0345482,0,irresponsible,-0.011682604,0.031123071,0.00362488,0.009176121
3,2638,1.027846142,0.010694198,0.020997642,0.009741259,-0.047808077,0,irresponsible,-0.010303445,0.032613083,-0.002586416,0.009653231
4,2638,1.056189489,0.008421481,0.017803264,0.009477304,-0.036751461,0,irresponsible,-0.009381783,0.02595024,-0.007125669,0.00974121
5,2638,1.079746622,0.015881894,0.020154784,0.010758222,-0.033285608,0,irresponsible,-0.00427289,0.018361745,0.00063071,0.011362721
6,2638,1.092912979,0.023216434,0.018246524,0.013249864,-0.018464805,0,irresponsible,0.00496991,0.027211661,0.010565649,0.014306496
7,2638,1.134169944,0.028844921,0.018145385,0.016368876,-0.043163933,0,irresponsible,0.010699536,0.039493043,0.010457473,0.017889757
8,2638,1.171899066,0.022041954,0.014248752,0.017503491,-0.034089554,0,irresponsible,0.007793201,0.048126606,0.000672438,0.019851934
9,2638,1.230423155,0.024917084,0.007397817,0.01898621,-0.045043391,0,irresponsible,0.017519266,0.040837919,-0.012487429,0.022249921
10,2638,1.253574904,0.026087914,0.018973593,0.020406551,-0.021421434,0,irresponsible,0.007114321,0.023151748,-0.017686171,0.025108692
1,2639,0.9656,0.01,0.021996192,0.01,-0.033032193,0,irresponsible,-0.011996192,0.038035454,0.000261024,0.009656
2,2639,1.003635454,0.022728879,0.022391519,0.012545776,-0.047334289,0,irresponsible,0.000337359,0.038296478,-0.001466777,0.012114201
3,2639,1.042192957,0.022944209,0.013295407,0.014625462,-0.037240127,0,irresponsible,0.009648802,0.035101899,0.002264419,0.014678633
4,2639,1.073839253,0.028009506,0.012890265,0.017302271,-0.027106651,0,irresponsible,0.015119241,0.042825316,0.009491888,0.018032305
5,2639,1.127843588,0.034922765,0.006397994,0.02082637,-0.038609077,0,irresponsible,0.028524771,0.054085676,0.003576423,0.022364174
6,2639,1.182010604,0.032938184,-0.000259753,0.023248733,-0.027646232,0,irresponsible,0.033197938,0.049978162,-0.00146812,0.026220934
7,2639,1.227799912,0.039986734,0.009405914,0.026596333,-0.025659391,0,irresponsible,0.03058082,0.051149436,0.004119176,0.031437148
8,2639,1.284309476,0.040411066,0.017416212,0.02935928,-0.04209688,0,irresponsible,0.022994854,0.058216515,0.005247645,0.036047321
9,2639,1.344232943,0.047453091,0.00508142,0.032978042,-0.024276707,0,irresponsible,0.042371671,0.061644727,0.002574736,0.042354012
10,2639,1.407598929,0.044127793,0.006184454,0.035207992,-0.02459139,0,irresponsible,0.037943339,0.063365986,0.00172126,0.047327743
1,2640,0.9656,0.01,0.027263099,0.01,-0.020339194,0,irresponsible,-0.017263099,0.046850144,0.009507929,0.009656
2,2640,1.012450144,0.010968026,0.016811439,0.010193605,-0.053134672,0,irresponsible,-0.005843413,0.056358073,-0.003233718,0.009842945
3,2640,1.078316145,0.008424387,0.010156229,0.009839761,-0.066183187,0,irresponsible,-0.001731842,0.040382707,-0.018471453,0.009962268
4,2640,1.093215558,0.01246425,0.013186843,0.010364659,-0.017903012,0,irresponsible,-0.000722593,0.019415166,-0.006266245,0.011176379
5,2640,1.117146478,0.012783826,0.019486891,0.010848493,-0.033194042,0,irresponsible,-0.006703066,0.027850218,0.001262427,0.011859741
6,2640,1.148915994,0.012519338,0.020610844,0.011182662,-0.042089473,0,irresponsible,-0.008091506,0.02194002,-0.000501142,0.012492671
7,2640,1.161026518,0.011426218,0.02412366,0.011231373,-0.026573773,0,irresponsible,-0.012697442,0.026847933,0.005160903,0.012903904
8,2640,1.20261186,0.007923009,0.01815094,0.0105697,-0.050230446,0,irresponsible,-0.01022793,0.032261826,-0.006057502,0.012271702
9,2640,1.225550171,0.007103934,0.016118379,0.009876547,-0.030325738,0,irresponsible,-0.009014444,0.01473293,-0.012867139,0.011877653
10,2640,1.23207772,0.013264928,0.020671352,0.010554223,-0.018675484,0,irresponsible,-0.007406425,0.006527549,-0.008205381,0.01293473
1,2641,0.9656,0.01,0.022380572,0.01,-0.042863752,0,irresponsible,-0.012380572,0.026324136,0.002966991,0.009656
2,2641,0.991924136,0.018360675,0.015664502,0.011672135,-0.03011971,0,irresponsible,0.002696173,0.029291126,0.001069266,0.011270614
3,2641,1.024182253,0.023803916,0.025802333,0.014098491,-0.043575427,0,irresponsible,-0.001998417,0.028462668,0.001866406,0.013984634
4,2641,1.048849471,0.028958937,0.015902355,0.01707058,-0.023489471,0,irresponsible,0.013056582,0.033023938,0.001547216,0.017483386
5,2641,1.090230128,0.025284269,0.015617839,0.018713318,-0.038183892,0,irresponsible,0.00966643,0.031557099,-0.002476624,0.019627454
6,2641,1.111963669,0.028022173,0.022214648,0.020575089,-0.023482191,0,irresponsible,0.005807525,0.02807069,0.000364927,0.022431582
7,2641,1.146371509,0.032670879,0.021510393,0.022994247,-0.032792593,0,irresponsible,0.011160486,0.032286952,0.00635748,0.025568767
8,2641,1.176537574,0.038653892,0.015998926,0.026126176,-0.01873929,0,irresponsible,0.022654967,0.040785649,0.011836212,0.029950304
9,2641,1.227942807,0.040290616,0.015409952,0.028959064,-0.035706116,0,irresponsible,0.024880664,0.055959376,0.009863935,0.034071427
10,2641,1.288456326,0.048456852,0.012596805,0.032858622,-0.035942682,0,irresponsible,0.035860046,0.060513519,0.004554143,0.040348508
1,2642,0.9656,0.01,0.024818616,0.01,-0.043699657,0,irresponsible,-0.014818616,0.027622387,-0.006854024,0.009656
2,2642,0.993222387,0.013195553,0.029412165,0.010639111,-0.04523172,0,irresponsible,-0.016216612,0.020768363,-0.004233011,0.010273125
3,2642,1.007136726,0.017264646,0.006473381,0.011964218,-0.008495793,0,irresponsible,0.010791265,0.019156365,0.009388956,0.011883129
4,2642,1.031535116,0.025756913,0.01528778,0.014722757,-0.024958878,0,irresponsible,0.010469132,0.039546275,0.009849155,0.014827829
5,2642,1.086229275,0.031703789,0.020741297,0.018118963,-0.057344223,0,irresponsible,0.010962493,0.038854675,0.000242522,0.018690347
6,2642,1.109244466,0.030582799,0.025917945,0.02061173,-0.028633346,0,irresponsible,0.004664853,0.040031319,0.003028568,0.022389065
7,2642,1.166291913,0.036220497,0.018500543,0.023733484,-0.051348275,0,irresponsible,0.017719953,0.044911811,0.002723496,0.026326235
8,2642,1.199068088,0.040006333,0.02260904,0.026988053,-0.027781883,0,irresponsible,0.017397293,0.04547831,0.002887735,0.031475948
9,2642,1.257248533,0.042487652,0.011967375,0.030087973,-0.036709564,0,irresponsible,0.030520277,0.050687281,-0.001142097,0.036077528
10,2642,1.30044265,0.050283291,0.017323239,0.034127037,-0.022427316,0,irresponsible,0.032960051,0.043194117,-0.007493164,0.042906167
1,2643,0.9656,0.01,0.0172527,0.01,-0.014240477,0,irresponsible,-0.0072527,0.01308521,0.012971016,0.009656
2,2643,0.97868521,0.008332036,0.026068189,0.009666407,-0.028520403,0,irresponsible,-0.017736153,0.026056226,0.014868909,0.009333883
3,2643,1.017712453,0.016226004,0.020657361,0.010978327,-0.048308249,0,irresponsible,-0.004431357,0.042823028,0.007160195,0.010744326
4,2643,1.064331267,0.020462218,0.019113198,0.012875105,-0.052848333,0,irresponsible,0.00134902,0.040376615,-0.004355738,0.013103154
5,2643,1.098465684,0.02177692,0.028661159,0.014655468,-0.048625773,0,irresponsible,-0.006884239,0.034111552,-0.006408256,0.015598273
6,2643,1.132554371,0.02510016,0.026811244,0.016744406,-0.044858025,0,irresponsible,-0.001711084,0.027560103,-0.005531576,0.018393156
7,2643,1.15358589,0.033245346,0.025293718,0.020044594,-0.026829777,0,irresponsible,0.007951627,0.0230484,0.001034008,0.022701593
8,2643,1.17865117,0.035824663,0.022453206,0.023200608,-0.024222023,0,irresponsible,0.013371457,0.029628119,0.00047287,0.026763894
9,2643,1.212842128,0.035179841,0.021164963,0.025596455,-0.029076032,0,irresponsible,0.014014878,0.02399414,-0.007915398,0.030169291
10,2643,1.226639451,0.033342219,0.027023385,0.027145608,-0.013652987,0,irresponsible,0.006318833,0.013797323,-0.010196818,0.032923336
1,2644,0.9656,0.01,0.013620387,0.01,-0.038398578,0,irresponsible,-0.003620387,0.034695965,-0.002949471,0.009656
2,2644,1.000295965,0.012992753,0.01400513,0.010598551,-0.037939927,0,irresponsible,-0.001012378,0.031746495,0.002697122,0.01023396
3,2644,1.029092989,0.022396277,0.026378695,0.012958096,-0.041876573,0,irresponsible,-0.003982417,0.04009021,0.009060428,0.012961931
4,2644,1.080476385,0.036590645,0.016502048,0.017684606,-0.050186191,0,irresponsible,0.020088596,0.049867352,0.00023017,0.018199104
5,2644,1.128827692,0.040832274,0.020891114,0.022314139,-0.046845225,0,irresponsible,0.01994116,0.040550549,-0.007841853,0.024109901
6,2644,1.161577484,0.04119678,0.023237226,0.026090667,-0.029601897,0,irresponsible,0.017959553,0.034183646,0.00632445,0.029451868
7,2644,1.197194983,0.053890825,0.025986487,0.031650699,-0.029204723,0,irresponsible,0.027904339,0.05319945,0.010627173,0.036764739
8,2644,1.267976384,0.063043587,0.015012122,0.037929277,-0.043750883,0,irresponsible,0.048031466,0.055437991,0.001637079,0.04540874
9,2644,1.308070966,0.060114386,0.029560432,0.042366299,-0.024323252,0,irresponsible,0.030553954,0.056473609,0.008707322,0.053719466
10,2644,1.380923601,0.06020827,0.022653495,0.045934693,-0.043073772,0,irresponsible,0.037554775,0.072852636,0.016379027,0.060085838
1,2645,0.9656,0.01,0.027392044,0.01,-0.024796848,0,irresponsible,-0.017392044,0.011212127,0.008149769,0.009656
2,2645,0.976812127,0.010431757,0.015655952,0.010086351,-0.016507234,0,irresponsible,-0.005224195,0.019361896,0.010948072,0.009739381
3,2645,1.004323792,0.015947796,0.023439224,0.01125864,-0.039137311,0,irresponsible,-0.007491429,0.033108272,0.009877134,0.010997576
4,2645,1.04302867,0.019796102,0.01070673,0.012966133,-0.036459744,0,irresponsible,0.009089372,0.039116165,-0.002372052,0.013022196
5,2645,1.082556121,0.018399879,0.014730844,0.014052882,-0.040224319,0,irresponsible,0.003669036,0.028364167,-0.01010589,0.014657559
6,2645,1.099757003,0.026241073,0.019723652,0.01649052,-0.02063323,0,irresponsible,0.006517421,0.018904385,-0.00103522,0.017851914
7,2645,1.120364892,0.027522088,0.015821319,0.018696834,-0.017494775,0,irresponsible,0.011700769,0.026293727,0.008356215,0.020561974
8,2645,1.152344457,0.024598907,0.030153975,0.019877248,-0.043156228,0,irresponsible,-0.005555068,0.035616816,0.001005962,0.022269771
9,2645,1.191598523,0.03093779,0.024945196,0.022089357,-0.042464882,0,irresponsible,0.005992594,0.028305652,-0.009129789,0.025454548
10,2645,1.20895576,0.030529629,0.027214352,0.023777411,-0.021344189,0,irresponsible,0.003315277,0.017357237,-0.010948414,0.028333128
