T0,r_on_g,r_on_s,g_on_r,g_on_s,s_on_r,s_on_g
1962-01-01,0.15056325368058798,0.3231652444752836,0.12011457099003865,0.2170164611869423,0.45874529564213007,0.3856423337033439
1963-01-01,0.15458373947729923,0.3239036986640452,0.11929797412779149,0.21033322800337248,0.45846865480857896,0.38523313814863247
1964-01-01,0.15342629295786595,0.32388590597956546,0.11771971752692373,0.20761345687765373,0.4571166868735123,0.38135673548393834
1965-01-01,0.15564026162617248,0.32448005235058563,0.11609618674313284,0.2010818121680108,0.4564326399036305,0.37865005584226463
1966-01-01,0.16324847653571153,0.32581047473176233,0.1158761210350171,0.19153337318596403,0.45639386854608444,0.3774198335772373
1967-01-01,0.18406402048576462,0.3291569334582105,0.12337484254558558,0.18142290168810898,0.4598381432744757,0.37753024547523556
1968-01-01,0.18392515540616652,0.33182861252091794,0.12336840412826913,0.18229162675073415,0.4621839889889341,0.37792327140907245
1969-01-01,0.2056904259645801,0.3367478313999018,0.13646613538152366,0.1778641685403573,0.47270225604661087,0.37565379210294714
1970-01-01,0.20910108535659197,0.3449888338686722,0.13996964406112367,0.17746616802619958,0.48626716765134465,0.37295952541144256
1971-01-01,0.1954312761615907,0.3526404757718186,0.12805351525358472,0.18714489365762554,0.49874685484390474,0.4030965066284052
1972-01-01,0.20008764765168924,0.3584241116646398,0.13204361653544663,0.18626278275566904,0.5096667233835147,0.4004227456200243
1973-01-01,0.21934518206788758,0.36277338294250056,0.14093141011766153,0.17984919686683049,0.515903109653644,0.39711102631033895
1974-01-01,0.2589063063011596,0.3709222546749496,0.1610022136048404,0.1709388458703194,0.5313583992222295,0.39275019037077574
1975-01-01,0.1988310700274486,0.38966540981802333,0.12415311848040439,0.18443137916880556,0.5890463619100678,0.44499655843089353
1976-01-01,0.12857911198317476,0.4016837253034883,0.0833268770795588,0.1914305005055051,0.6591825000285809,0.4826167121000141
1977-01-01,0.1606081722906242,0.40537736669007174,0.10097351898410387,0.18689507163463345,0.6715998776423319,0.49016892514879806
1978-01-01,0.19502924499961125,0.413497072251776,0.12264128008501317,0.1821420504787069,0.6999170205692358,0.48768505623374153
1979-01-01,0.26422213113981996,0.4232599017029784,0.16246103348251545,0.1743584064144043,0.7396276083405575,0.49254678866079527
1980-01-01,0.27920004640235424,0.43884213089150287,0.18007404729833704,0.17306182992522834,0.8026237007968104,0.48726077984853944
1981-01-01,0.22438665997532528,0.4518327686580501,0.14473474941412534,0.18266349637550314,0.8709148024784383,0.5411623998806927
1982-01-01,0.2243461141318967,0.4641770577180001,0.14985403146025594,0.1836396993870724,0.922665108421262,0.5411665101339895
1983-01-01,0.2870538731560249,0.4636601300908419,0.16570709695109467,0.19587361070079368,0.9211492233841623,0.6676618818032377
1984-01-01,0.269497808079497,0.4629797115452633,0.15356849282208698,0.19511304314012956,0.9318152967081573,0.6828263087207256
1985-01-01,0.20938154702544048,0.4587746428924467,0.1033286988635155,0.18682211852149483,0.9510114100699522,0.7780926026744215
1986-01-01,0.166945573041207,0.45363631011528993,0.08468760235754023,0.18432476456770697,0.986009975072134,0.7836470624577714
1987-01-01,0.13907040908055937,0.44746043027431526,0.07501872075837901,0.183062120896404,1.0385652958893843,0.7821041510579111
1988-01-01,0.1162690512010742,0.43948982063515013,0.06504763723757237,0.1809434087016562,1.057944446240799,0.7736007615094279
1989-01-01,0.0872301471309732,0.4347254288445234,0.048562233082540616,0.17547561964815062,1.060478748324774,0.7645535345561831
1990-01-01,0.06531751981978884,0.42988127128373,0.03662444912177845,0.1715315167763036,1.0599955593166088,0.7505710905446558
1991-01-01,0.07847095302413727,0.4247109882562052,0.044960411242490644,0.1748094153092889,1.0670770232083946,0.763081796841613
1992-01-01,0.14533096471008677,0.42006097620673144,0.0795167060270883,0.18333151482270088,1.0791057088714406,0.8570501101571959
1993-01-01,0.11956372722909676,0.4140376308693159,0.06774557731905205,0.18137332943976947,1.1072524619588078,0.853009779304731
1994-01-01,0.1154259883415164,0.40852517980511505,0.06734345848706452,0.18175584741398698,1.1181948526231926,0.8501598079303146
1995-01-01,0.08117584482991257,0.4015614724571174,0.04783711386096813,0.17629999936841956,1.123567564733789,0.8352753433494366
1996-01-01,0.07623661372914216,0.38970182822816435,0.047549886443457354,0.1785756804982368,1.1319167624664312,0.8304042593585295
1997-01-01,0.03126334530884624,0.3732898008608902,0.02071875159812274,0.17314719553658206,1.1376671587287444,0.7959083435844118
1998-01-01,-0.04892567579377777,0.3522481276903632,-0.03418599578064917,0.15954932625654053,1.1294733783355149,0.7328025803828315
1999-01-01,-0.1596856322509206,0.31792782494594224,-0.12470048350217733,0.14207742117190852,1.1195824148943072,0.6422330003996776
2000-01-01,-0.30258421223592846,0.2812581894099785,-0.25848815624927246,0.11448744483764797,1.0736152248848498,0.5137400750954334
2001-01-01,-0.40890945987126376,0.2440798555599509,-0.38753348373666435,0.08948727275097286,0.9543713322677292,0.37125451173431573
2002-01-01,-0.3588611866983106,0.20181379462996224,-0.3904878826372877,0.12643310089673865,0.8260376578790505,0.47746671098593757
2003-01-01,-0.33864963510775326,0.1713133876657656,-0.4182113344375311,0.14071998438147357,0.759674560408672,0.5063523147397433
2004-01-01,-0.3533084731521355,0.16007918423979697,-0.45512562835906145,0.1381835680847818,0.7303119835141689,0.4900242795625409
2005-01-01,-0.3879565233505255,0.15592563972065818,-0.4850378722749933,0.12536215287374694,0.7059387689638867,0.45502987365297926
2006-01-01,-0.4137856880745471,0.1533756495004574,-0.5060966437957648,0.11123967298424539,0.6721445819183685,0.39994776661966286
