DATE,ACMY01,ACMY02,ACMY03,ACMY04,ACMY05,ACMY06,ACMY07,ACMY08,ACMY09,ACMY10,ACMTP01,ACMTP02,ACMTP03,ACMTP04,ACMTP05,ACMTP06,ACMTP07,ACMTP08,ACMTP09,ACMTP10,ACMRNY01,ACMRNY02,ACMRNY03,ACMRNY04,ACMRNY05,ACMRNY06,ACMRNY07,ACMRNY08,ACMRNY09,ACMRNY10
30-Jun-1961,2.897856876,3.268825,3.49405653,3.629022596,3.711970056,3.765556283,3.802492245,3.829656233,3.850626928,3.867155007,-0.077786969,-0.016047128,0.051901512,0.09928275,0.128490151,0.146239547,0.157719169,0.165993026,0.172550346,0.177904044,2.975643845,3.284872128,3.442155017,3.529739847,3.583479905,3.619316736,3.644773076,3.663663207,3.678076582,3.689250962
31-Jul-1961,2.761946181,3.222028858,3.502740053,3.676854493,3.789234081,3.86587194,3.921378525,3.96380909,3.997521616,4.02481063,0.017610494,0.124721902,0.221782328,0.28943916,0.33363144,0.362932634,0.383570438,0.39923598,0.411826477,0.422138621,2.744335687,3.097306956,3.280957725,3.387415333,3.455602641,3.502939305,3.537808087,3.56457311,3.585695138,3.602672009
31-Aug-1961,2.983432016,3.388104709,3.637788284,3.789106175,3.882814335,3.94354418,3.985314415,4.015824796,4.039164283,4.057403077,-0.047313871,0.043030485,0.132574063,0.195303821,0.235425388,0.261180111,0.278788269,0.291961969,0.302588773,0.311427419,3.030745887,3.345074224,3.505214221,3.593802354,3.647388947,3.682364069,3.706526145,3.723862827,3.73657551,3.745975658
29-Sep-1961,2.923124007,3.316874549,3.536764327,3.66459337,3.743325389,3.79548281,3.832843322,3.8614907,3.884472677,3.903217381,-0.012439142,0.050505845,0.106643704,0.143993551,0.167371951,0.182660515,0.193839502,0.20305159,0.211189567,0.218407002,2.935563149,3.266368703,3.430120622,3.520599819,3.575953439,3.612822295,3.63900382,3.65843911,3.673283109,3.684810379
31-Oct-1961,2.876352381,3.231400479,3.460185543,3.608142467,3.707274342,3.777364475,3.829901016,3.871307047,3.905057853,3.932957319,-0.0373687,0.031294226,0.110561762,0.171557765,0.214649029,0.245505547,0.268870599,0.287681741,0.303459232,0.316818316,2.913721081,3.200106253,3.349623781,3.436584703,3.492625314,3.531858928,3.561030416,3.583625306,3.601598622,3.616139003
30-Nov-1961,2.971004891,3.28548108,3.531249099,3.688773162,3.781812799,3.834594478,3.863850646,3.879700452,3.88782733,3.891222733,-0.212149773,-0.1747863,-0.071622236,0.009072902,0.057411075,0.082273437,0.093136737,0.096469783,0.095982215,0.093514311,3.183154663,3.46026738,3.602871335,3.67970026,3.724401724,3.752321041,3.770713909,3.783230669,3.791845115,3.797708422
29-Dec-1961,3.103307688,3.40223162,3.640256685,3.782575834,3.853824057,3.881581932,3.88518841,3.876307211,3.86139374,3.843740903,-0.301283182,-0.293818088,-0.197473564,-0.124101991,-0.087353518,-0.076938235,-0.081522784,-0.09334817,-0.107986757,-0.123273142,3.40459087,3.696049708,3.837730249,3.906677825,3.941177575,3.958520167,3.966711194,3.969655382,3.969380497,3.967014045
31-Jan-1962,3.166508851,3.560364446,3.764167826,3.872784091,3.933075795,3.968648398,3.991431413,4.007362776,4.019266172,4.02834301,-0.000687292,0.055833581,0.102311201,0.130454011,0.146090377,0.155199045,0.161593549,0.16719917,0.172703627,0.178082805,3.167196143,3.504530865,3.661856624,3.74233008,3.786985418,3.813449353,3.829837864,3.840163606,3.846562544,3.850260205
28-Feb-1962,3.057738762,3.33587437,3.512214545,3.624963223,3.700109467,3.753396381,3.79377503,3.826099773,3.852867572,3.875259448,-0.075631431,-0.043288504,0.009826879,0.054003673,0.086830641,0.111628094,0.131554426,0.148554985,0.163542345,0.176758807,3.133370193,3.379162874,3.502387667,3.57095955,3.613278826,3.641768288,3.662220604,3.677544788,3.689325227,3.698500642
30-Mar-1962,2.877233133,3.151381625,3.350072544,3.490579,3.59236754,3.669439548,3.730551532,3.780825507,3.823128443,3.858999376,-0.071497965,-0.021654096,0.053828021,0.118829598,0.169288474,0.208564143,0.240268459,0.266825506,0.289558372,0.309043364,2.948731098,3.173035721,3.296244523,3.371749402,3.423079067,3.460875405,3.490283073,3.514000001,3.533570071,3.549956012
