date,interest_rate,debt_held_by_public,gdp_growth_rate,b_lag1,gross_interest
1982-02-01,0.0765664807,,,24.22244,
1982-03-01,0.0712899337,,,25.16168,
1982-04-01,0.0740834717,26.04812,0.018000000000000002,26.23118,1.9089360326007916
1982-05-01,0.0732004091,,,,
1982-06-01,0.0734537864,,,,
1982-07-01,0.0755898662,27.49681,-0.015,26.04812,1.9989582797579128
1982-08-01,0.0687979814,,,,
1982-09-01,0.0650722489,,,,
1982-10-01,0.0627916218,29.02869,0.002,27.49681,1.7231230481301976
1982-11-01,0.056262142300000005,,,,
1982-12-01,0.058817314200000005,,,,
1983-01-01,0.055433895,30.03786,0.054000000000000006,29.02869,1.526729936857258
1983-02-01,0.05861704869999999,,,,
1983-03-01,0.055738384700000004,,,,
1983-04-01,0.0570012244,30.46486,0.094,30.03786,1.565077512208212
1983-05-01,0.054023935300000006,,,,
1983-06-01,0.058095582400000005,,,,
1983-07-01,0.058185791,30.85207,0.08199999999999999,30.46486,1.6382827881739925
1983-08-01,0.06269421780000001,,,,
1983-09-01,0.0635502485,,,,
1983-10-01,0.060326933299999996,30.94904,0.086,30.85207,1.7138220709548166
1983-11-01,0.0614393792,,,,
1983-12-01,0.0614842454,,,,
1984-01-01,0.0621530449,31.31733,0.081,30.94904,1.7794422504457874
1984-02-01,0.061010181000000004,,,,
1984-03-01,0.0646257937,,,,
1984-04-01,0.0662874874,31.30237,0.071,31.31733,1.9383259736476581
1984-05-01,0.06851464909999999,,,,
1984-06-01,0.0734576833,,,,
1984-07-01,0.0744614428,32.05443,0.039,31.30237,2.243329772145752
1984-08-01,0.0687114867,,,,
1984-09-01,0.0697565415,,,,
1984-10-01,0.0660885326,33.10472,0.033,32.05443,2.050755316582206
1984-11-01,0.060664814399999996,,,,
1984-12-01,0.0607562511,,,,
1985-01-01,0.0616190057,33.45569,0.039,33.10472,1.963310808832439
1985-02-01,0.0601581783,,,,
1985-03-01,0.06383835809999999,,,,
1985-04-01,0.061913880399999996,34.00518,0.036000000000000004,33.45569,1.99939342602266
1985-05-01,0.0593748656,,,,
1985-06-01,0.051560053,,,,
1985-07-01,0.0533392835,34.34319,0.063,34.00518,1.7063141453325779
1985-08-01,0.055901181400000007,,,,
1985-09-01,0.054232741,,,,
1985-10-01,0.0540769529,35.9372,0.03,34.34319,1.803082590355098
1985-11-01,0.052424908,,,,
1985-12-01,0.050807695199999996,,,,
1986-01-01,0.0454718526,36.25327,0.038,35.9372,1.5743073807868206
1986-02-01,0.0462388041,,,,
1986-03-01,0.0420918205,,,,
1986-04-01,0.0394830491,37.06959,0.018000000000000002,36.25327,1.4060801959190146
1986-05-01,0.0404659032,,,,
1986-06-01,0.0458448381,,,,
1986-07-01,0.0399302785,37.81619,0.039,37.06959,1.4246381641778778
1986-08-01,0.039205807,,,,
1986-09-01,0.0355172642,,,,
1986-10-01,0.0386705459,38.89843,0.022000000000000002,37.81619,1.4308930637555
1986-11-01,0.0374388639,,,,
1986-12-01,0.035437343600000004,,,,
1987-01-01,0.0360456573,38.94981,0.03,38.89843,1.3612810459107174
1987-02-01,0.0357858135,,,,
1987-03-01,0.035547854499999997,,,,
1987-04-01,0.0376019917,38.93233,0.044000000000000004,38.94981,1.4028643987898246
1987-05-01,0.043597144,,,,
1987-06-01,0.0433241266,,,,
1987-07-01,0.0427752862,38.75706,0.035,38.93233,1.6090256600800446
1987-08-01,0.044802317599999995,,,,
1987-09-01,0.0460420021,,,,
1987-10-01,0.0495924181,39.01892,0.07,38.75706,1.7963143213521364
1987-11-01,0.045254317100000004,,,,
1987-12-01,0.045792755100000006,,,,
1988-01-01,0.0460538556,39.35668,0.021,39.01892,1.7600114665503939
1988-02-01,0.0409836913,,,,
1988-03-01,0.04042738059999999,,,,
1988-04-01,0.044165564799999994,38.79383,0.054000000000000006,39.35668,1.6491555985321285
1988-05-01,0.0449627175,,,,
1988-06-01,0.046508806800000004,,,,
1988-07-01,0.044353527499999996,38.83776,0.024,38.79383,1.6803156306009033
1988-08-01,0.045427448200000005,,,,
1988-09-01,0.047078602500000004,,,,
1988-10-01,0.044619939100000006,38.80314,0.054000000000000006,38.83776,1.644154161271742
1988-11-01,0.0435872218,,,,
1988-12-01,0.0461793872,,,,
1989-01-01,0.0486319371,38.71024,0.040999999999999995,38.80314,1.8127491486671412
1989-02-01,0.0473187982,,,,
1989-03-01,0.0497372227,,,,
1989-04-01,0.0487105004,38.16724,0.031,38.71024,1.8288992832241477
1989-05-01,0.0462966249,,,,
1989-06-01,0.044111656400000004,,,,
1989-07-01,0.0400267623,38.28949,0.03,38.16724,1.4832146049777202
1989-08-01,0.0373935273,,,,
1989-09-01,0.042770714300000005,,,,
1989-10-01,0.042971833300000005,39.06522,0.008,38.28949,1.6323110926805726
1989-11-01,0.0403013495,,,,
1989-12-01,0.040296658299999996,,,,
1990-01-01,0.041276234,39.66257,0.044000000000000004,39.06522,1.544506860135517
1990-02-01,0.0436692739,,,,
1990-03-01,0.0455196762,,,,
1990-04-01,0.0455216196,39.74431,0.015,39.66257,1.7788220925107117
1990-05-01,0.0480506176,,,,
1990-06-01,0.0438261115,,,,
1990-07-01,0.043418185,40.52376,0.003,39.74431,1.7204644110442173
1990-08-01,0.0417053207,,,,
1990-09-01,0.043987447,,,,
1990-10-01,0.0420053902,42.24243,-0.036000000000000004,40.52376,1.7657845966505727
1990-11-01,0.0405885498,,,,
1990-12-01,0.038939206999999997,,,,
1991-01-01,0.0392293115,43.05343,-0.019,42.24243,1.6892369469795567
1991-02-01,0.0390705382,,,,
1991-03-01,0.041758361800000005,,,,
1991-04-01,0.041098331,43.13567,0.032,43.05343,1.714558252737723
1991-05-01,0.040499163100000006,,,,
1991-06-01,0.0418764426,,,,
1991-07-01,0.042222537500000004,44.24358,0.02,43.13567,1.785585729571201
1991-08-01,0.0413991739,,,,
1991-09-01,0.038784955499999996,,,,
1991-10-01,0.036378620599999995,45.22334,0.013999999999999999,44.24358,1.587298235508627
1991-11-01,0.0356505772,,,,
1991-12-01,0.0341033346,,,,
1992-01-01,0.0319854245,45.85232,0.049,45.22334,1.3789206169760058
1992-02-01,0.0362829159,,,,
1992-03-01,0.0366026498,,,,
1992-04-01,0.0378985987,46.00345,0.044000000000000004,45.85232,1.6645006466896397
1992-05-01,0.0374616997,,,,
1992-06-01,0.0356857666,,,,
1992-07-01,0.0335309944,46.42086,0.04,46.00345,1.4832129080102692
1992-08-01,0.031248226,,,,
1992-09-01,0.029573423600000003,,,,
1992-10-01,0.027280437499999997,46.8403,0.042,46.42086,1.2153372072228885
1992-11-01,0.0332463334,,,,
1992-12-01,0.0350968543,,,,
1993-01-01,0.0326790846,47.3672,0.006999999999999999,46.8403,1.5200577223330487
1993-02-01,0.0300478524,,,,
1993-03-01,0.0267342493,,,,
1993-04-01,0.027745169299999997,47.76493,0.023,47.3672,1.284663717758514
1993-05-01,0.026647206200000002,,,,
1993-06-01,0.0276123734,,,,
1993-07-01,0.0259179878,47.87488,0.019,47.76493,1.214888000989062
1993-08-01,0.0270290307,,,,
1993-09-01,0.024505806899999996,,,,
