r (BEA / Jared),g (BEA / Jared),r-g (BEA / Jared),MN,date,SPF 10-Year CPI,rgdp10,US 10-Year Yield (Observed),r (SPF / Blanchard),g (SPF / Blanchard),r-g (SPF / Blanchard),yrly avg,r_spf_avg,g_spf_avg
,,,12,12/1/2023,2.4,2,4.02,1.62,2,-0.38,-0.4238625,1.5761375,2
3.124611582,5.28,-2.155388418,1,1/1/2024,2.24,2,4.06,1.82,2,-0.18,,,
,,,2,2/1/2024,2.24,2,4.21,1.97,2,-0.03,,,
,,,3,3/1/2024,2.24,2,4.21,1.97,2,-0.03,,,
,,,4,4/1/2024,2.325,2,4.54,2.215,2,0.215,,,
,,,5,5/1/2024,2.325,2,4.48,2.155,2,0.155,,,
,,,6,6/1/2024,2.325,2,4.31,1.985,2,-0.015,,,
,,,7,7/1/2024,2.3,2,4.25,1.95,2,-0.05,,,
,,,8,8/1/2024,2.3,2,3.87,1.57,2,-0.43,,,
,,,9,9/1/2024,2.3,2,3.72,1.42,2,-0.58,,,
,,,10,10/1/2024,2.225,2,4.1,1.875,2,-0.125,,,
,,,11,11/1/2024,2.225,2,4.36,2.135,2,0.135,,,
,,,12,12/1/2024,2.225,2,4.39,2.165,2,0.165,-0.064166667,1.935833333,2
,,,1,1/1/2025,2.3,2.1,4.63,2.33,2.1,0.23,,,
,,,2,2/1/2025,2.3,2.1,4.45,2.15,2.1,0.05,,,
,,,3,3/1/2025,2.3,2.1,4.28,1.98,2.1,-0.12,,,
,,,4,4/1/2025,2.3492,2.1,4.28,1.9308,2.1,-0.1692,,,
