T0,r_on_g,r_on_s,g_on_r,g_on_s,s_on_r,s_on_g
1962-01-01,0.15177769266110755,0.32455077222819173,0.12103278333742111,0.21848470253585733,0.4596345937233904,0.3874518026197838
1963-01-01,0.15580702360475732,0.3252871154459224,0.12018657408773756,0.2117947572064819,0.459350332694042,0.3871216790572297
1964-01-01,0.1546407090260946,0.3252667136191342,0.11859436104514745,0.20907092571015523,0.457994495004294,0.38326078371583866
1965-01-01,0.1568586768250678,0.32585854304128165,0.11694337052184932,0.20253243296789827,0.4573033292505819,0.38062572527398164
1966-01-01,0.16448653962392856,0.32718730674304786,0.11668628469947064,0.19297481579434506,0.4572538313375289,0.3795200447392368
1967-01-01,0.18533254376748484,0.330533352388859,0.12414116827442283,0.1828546695109861,0.46067820422831285,0.37978474552715086
1968-01-01,0.18520253118566624,0.33320377679086205,0.12414005699123475,0.18372137857709148,0.4630066142712822,0.3801609167227142
1969-01-01,0.20698828263401317,0.3381222383713527,0.1372174081578706,0.1792884020456236,0.4734942524073291,0.3779544363413907
1970-01-01,0.2104246246885191,0.3463668662339527,0.14073323259354567,0.17888796916764677,0.4870182060286922,0.37524818168770563
1971-01-01,0.19686310070440904,0.3540211563453013,0.12888732211844936,0.18857153355181802,0.499456847824653,0.4053777321081711
1972-01-01,0.2015428830051876,0.3598045202079281,0.1328864642636256,0.18768545432318332,0.5103385858283263,0.4027003824887815
1973-01-01,0.22082381555188527,0.364152471485666,0.14174067473949195,0.1812642504222704,0.5165446646889504,0.3994808504324254
1974-01-01,0.2604352628791263,0.37230301232750534,0.16176557926480167,0.1723442129782194,0.5319484188328325,0.39525624958366284
1975-01-01,0.2006237351103567,0.39105676204121875,0.12512164765970218,0.1858440709330033,0.5895073321849219,0.4475222929536155
1976-01-01,0.13068077251811,0.4030757744918795,0.08457447314176149,0.1928421068130147,0.6594655120940655,0.4851522586628899
1977-01-01,0.16276411175940333,0.4067658985590899,0.10217262462927973,0.18830173983877116,0.6718214080678322,0.49285020523512474
1978-01-01,0.19724330918676444,0.41488468307924525,0.1238156172624459,0.18354160727259392,0.7000230259142127,0.49045825584492314
1979-01-01,0.26655703554682175,0.42464725370613293,0.16355536910918897,0.1757489734351466,0.7395718774898159,0.4955324993616189
1980-01-01,0.2816284669900197,0.44023460571613054,0.18120584984698726,0.17444675834096496,0.8023083045183057,0.490239884579093
1981-01-01,0.22715195072298575,0.4532264933325166,0.14615351256754833,0.18404845333254946,0.8702814250669282,0.5441503549327773
1982-01-01,0.22720328545028667,0.4655721414385182,0.15134835791998802,0.1850196804710315,0.9217494131115502,0.5441180207935703
1983-01-01,0.29035472631063214,0.4650485682254659,0.16723916121674878,0.1972526401452796,0.9202420359200422,0.6707272824956698
